text,label
Informação: O horário de atendimento foi estendido até as 20h.,info
Learn how to save using our new goal-tracking tool.,info
Lembrete: Atualize seu endereço no aplicativo para continuar recebendo faturas.,alert
Deseja saber mais sobre nossos planos de previdência?,info
Alerta: Detectamos uma oscilação na sua conexão com o banco.,alert
Atenção: Novas regras de segurança para transferências via PIX.,alert
Saiba como economizar usando nossa nova ferramenta de metas.,info
Parabéns! Você ganhou um prêmio. Resgate clicando no link: bit.ly/seguranca-ban,fraud
Bank of America Bank wishes you a great day!,info
Transfer scheduled successfully to Sarah Davis on 05/15/2026.,payment
Use o QR Code abaixo para realizar seu pagamento na Mercado Livre.,payment
Important notice about your checking account fees.,alert
Alerta de segurança: Novo dispositivo conectado. Desconheça aqui: linkp.site/verificar,fraud
Use o QR Code abaixo para realizar seu pagamento na Posto Shell.,payment
Transferência agendada com sucesso para Ana Costa no dia 15/05/2026.,payment
Your bill of $346 is due tomorrow. Pay now to avoid late fees.,payment
Discover the advantages of being a Premium client.,info
Attention: New security rules for wire transfers.,alert
Your account now has access to new investment funds.,alert
Informação: O horário de atendimento foi estendido até as 20h.,info
Security tip: Never share your password with third parties over the phone.,alert
Aviso: O limite do seu cartão está próximo do fim.,alert
Confirmação de pagamento via PIX no valor de R$ 928 para Carlos Souza.,payment
Sua conta Inter precisa de verificação imediata. Acesse: linkp.site/verificar,fraud
Veja aqui o resumo dos seus gastos no último mês.,info
Important notice about your checking account fees.,alert
Informação: O horário de atendimento foi estendido até as 20h.,info
Alert: We detected a fluctuation in your connection to the bank.,alert
Detectamos uma tentativa de invasão. Confirme seus dados agora: linkp.site/verificar,fraud
Check your detailed statement in the 'Finances' menu.,info
Veja aqui o resumo dos seus gastos no último mês.,info
"Hello, how can I help you today?",info
Reminder: Update your address in the app to keep receiving statements.,alert
We received a request to change your data. Wasn't you? bit.ly/seguranca-ban,fraud
Alerta de segurança: Novo dispositivo conectado. Desconheça aqui: bit.ly/seguranca-ban,fraud
Would you like to know more about our retirement plans?,info
Urgente: Sua conta foi bloqueada. Clique no link para regularizar: seguro.vcc.com/atualizar,fraud
Security tip: Never share your password with third parties over the phone.,alert
Learn how to save using our new goal-tracking tool.,info
"Aviso: Transferência suspeita de R$ 2739 detectada. Se não foi você, clique: bit.ly/seguranca-ban",fraud
Notification: Scheduled maintenance on Saturday.,alert
Lembrete: Atualize seu endereço no aplicativo para continuar recebendo faturas.,alert
Sua senha expira em 24h. Atualize aqui para evitar bloqueio: bit.ly/seguranca-ban,fraud
Check your detailed statement in the 'Finances' menu.,info
Seu cartão de crédito final 6054 foi aprovado. Limite de R$ 759.,payment
We received your deposit of $194. The balance will be updated shortly.,payment
Congratulations! You won a prize. Claim it by clicking the link: seguro.vcc.com/atualizar,fraud
Payment confirmation via wire transfer of $653 to Sarah Davis.,payment
Parabéns! Você ganhou um prêmio. Resgate clicando no link: seguro.vcc.com/atualizar,fraud
Comunicado importante sobre as taxas da sua conta corrente.,alert
Your Capital One account requires immediate verification. Access: seguro.vcc.com/atualizar,fraud
Information: Business hours have been extended until 8 PM.,info
Sua conta Nubank precisa de verificação imediata. Acesse: seguro.vcc.com/atualizar,fraud
Deseja saber mais sobre nossos planos de previdência?,info
Payment confirmation via wire transfer of $262 to John Smith.,payment
"Aviso: Transferência suspeita de R$ 1016 detectada. Se não foi você, clique: seguro.vcc.com/atualizar",fraud
We detected an intrusion attempt. Confirm your data now: bit.ly/seguranca-ban,fraud
Transfer scheduled successfully to Mary Johnson on 05/15/2026.,payment
Parabéns! Você ganhou um prêmio. Resgate clicando no link: bit.ly/seguranca-ban,fraud
Automatic debit of $569 processed today.,payment
Deseja saber mais sobre nossos planos de previdência?,info
Your January statement is now available for payment.,payment
Use the QR Code below to complete your payment at Walmart.,payment
We received a request to change your data. Wasn't you? seguro.vcc.com/atualizar,fraud
"Olá, como posso ajudar você hoje?",info
Payment confirmation via wire transfer of $179 to Mary Johnson.,payment
Informativo: Sua conta agora tem acesso a novos fundos de investimento.,alert
We received your deposit of $226. The balance will be updated shortly.,payment
Detectamos uma tentativa de invasão. Confirme seus dados agora: bit.ly/seguranca-ban,fraud
Important notice about your checking account fees.,alert
Payment confirmation via wire transfer of $767 to Mary Johnson.,payment
Urgente: Sua conta foi bloqueada. Clique no link para regularizar: seguro.vcc.com/atualizar,fraud
Recebemos seu depósito de R$ 670. O saldo será atualizado em breve.,payment
Transfer scheduled successfully to Sarah Davis on 05/15/2026.,payment
Your password expires in 24h. Update here to avoid being locked out: bit.ly/seguranca-ban,fraud
"Aviso: Transferência suspeita de R$ 4775 detectada. Se não foi você, clique: linkp.site/verificar",fraud
Learn how to save using our new goal-tracking tool.,info
Consulte seu extrato detalhado no menu 'Finanças'.,info
Important notice about your checking account fees.,alert
Alerta: Detectamos uma oscilação na sua conexão com o banco.,alert
"Hello, how can I help you today?",info
O banco Nubank deseja um ótimo dia para você!,info
Important notice about your checking account fees.,alert
Informação: O horário de atendimento foi estendido até as 20h.,info
Notification: Scheduled maintenance on Saturday.,alert
Use the QR Code below to complete your payment at Walmart.,payment
Saiba como economizar usando nossa nova ferramenta de metas.,info
See here a summary of your spending last month.,info
Parabéns! Você ganhou um prêmio. Resgate clicando no link: linkp.site/verificar,fraud
Security alert: New device connected. Unlink it here: bit.ly/seguranca-ban,fraud
Payment confirmation via wire transfer of $389 to Sarah Davis.,payment
See here a summary of your spending last month.,info
Parabéns! Você ganhou um prêmio. Resgate clicando no link: seguro.vcc.com/atualizar,fraud
Discover the advantages of being a Premium client.,info
Alerta de segurança: Novo dispositivo conectado. Desconheça aqui: seguro.vcc.com/atualizar,fraud
Veja aqui o resumo dos seus gastos no último mês.,info
Urgent: Your account has been blocked. Click the link to resolve: linkp.site/verificar,fraud
"Warning: Suspicious transfer of $2476 detected. If it wasn't you, click: seguro.vcc.com/atualizar",fraud
Sua conta Nubank precisa de verificação imediata. Acesse: bit.ly/seguranca-ban,fraud
Your password expires in 24h. Update here to avoid being locked out: bit.ly/seguranca-ban,fraud
O banco Itaú deseja um ótimo dia para você!,info
Your account now has access to new investment funds.,alert
Urgente: Sua conta foi bloqueada. Clique no link para regularizar: bit.ly/seguranca-ban,fraud
"Aviso: Transferência suspeita de R$ 2674 detectada. Se não foi você, clique: seguro.vcc.com/atualizar",fraud
Congratulations! You won a prize. Claim it by clicking the link: linkp.site/verificar,fraud
Seu cartão de crédito final 2320 foi aprovado. Limite de R$ 585.,payment
Sua conta Banco do Brasil precisa de verificação imediata. Acesse: linkp.site/verificar,fraud
Alert: We detected a fluctuation in your connection to the bank.,alert
Payment confirmation via wire transfer of $87 to John Smith.,payment
Débito automático de R$ 916 realizado hoje.,payment
Your bill of $973 is due tomorrow. Pay now to avoid late fees.,payment
Your credit card ending in 7667 has been approved. Limit: $328.,payment
Urgent: Your account has been blocked. Click the link to resolve: seguro.vcc.com/atualizar,fraud
"Warning: Suspicious transfer of $587 detected. If it wasn't you, click: linkp.site/verificar",fraud
Urgent: Your account has been blocked. Click the link to resolve: linkp.site/verificar,fraud
Information: Business hours have been extended until 8 PM.,info
Your Chase account requires immediate verification. Access: bit.ly/seguranca-ban,fraud
Recebemos um pedido de alteração de dados. Não foi você? linkp.site/verificar,fraud
We received a request to change your data. Wasn't you? seguro.vcc.com/atualizar,fraud
Payment confirmation via wire transfer of $136 to Mary Johnson.,payment
"Hello, how can I help you today?",info
Check your detailed statement in the 'Finances' menu.,info
Your bill of $551 is due tomorrow. Pay now to avoid late fees.,payment
Notificação: Manutenção programada no sistema no dia sábado.,alert
Your credit card ending in 2749 has been approved. Limit: $169.,payment
Lembrete: Atualize seu endereço no aplicativo para continuar recebendo faturas.,alert
Notice: Your card limit is almost reached.,alert
Detectamos uma tentativa de invasão. Confirme seus dados agora: linkp.site/verificar,fraud
Automatic debit of $876 processed today.,payment
Transferência agendada com sucesso para João Silva no dia 15/05/2026.,payment
Citibank Bank wishes you a great day!,info
Your account now has access to new investment funds.,alert
Comunicado importante sobre as taxas da sua conta corrente.,alert
Alert: We detected a fluctuation in your connection to the bank.,alert
Informação: O horário de atendimento foi estendido até as 20h.,info
Check your detailed statement in the 'Finances' menu.,info
Detectamos uma tentativa de invasão. Confirme seus dados agora: seguro.vcc.com/atualizar,fraud
Your credit card ending in 2832 has been approved. Limit: $917.,payment
Seu boleto de R$ 823 vence amanhã. Pague agora e evite juros.,payment
See here a summary of your spending last month.,info
Recebemos seu depósito de R$ 663. O saldo será atualizado em breve.,payment
Informativo: Sua conta agora tem acesso a novos fundos de investimento.,alert
Seu cartão de crédito final 2621 foi aprovado. Limite de R$ 986.,payment
Transfer scheduled successfully to John Smith on 05/15/2026.,payment
Atenção: Novas regras de segurança para transferências via PIX.,alert
Atenção: Novas regras de segurança para transferências via PIX.,alert
Notice: Your card limit is almost reached.,alert
Aviso: O limite do seu cartão está próximo do fim.,alert
Your bill of $951 is due tomorrow. Pay now to avoid late fees.,payment
Consulte seu extrato detalhado no menu 'Finanças'.,info
Important notice about your checking account fees.,alert
"Hello, how can I help you today?",info
Detectamos uma tentativa de invasão. Confirme seus dados agora: bit.ly/seguranca-ban,fraud
Recebemos um pedido de alteração de dados. Não foi você? bit.ly/seguranca-ban,fraud
Transferência agendada com sucesso para Carlos Souza no dia 15/05/2026.,payment
Use o QR Code abaixo para realizar seu pagamento na Magazine Luiza.,payment
Sua fatura do mês Abril já está disponível para pagamento.,payment
Your account now has access to new investment funds.,alert
Use o QR Code abaixo para realizar seu pagamento na Posto Shell.,payment
Débito automático de R$ 133 realizado hoje.,payment
Detectamos uma tentativa de invasão. Confirme seus dados agora: bit.ly/seguranca-ban,fraud
Consulte seu extrato detalhado no menu 'Finanças'.,info
Alerta: Detectamos uma oscilação na sua conexão com o banco.,alert
Congratulations! You won a prize. Claim it by clicking the link: seguro.vcc.com/atualizar,fraud
Notification: Scheduled maintenance on Saturday.,alert
Débito automático de R$ 169 realizado hoje.,payment
"Hello, how can I help you today?",info
Learn how to save using our new goal-tracking tool.,info
Parabéns! Você ganhou um prêmio. Resgate clicando no link: linkp.site/verificar,fraud
Sua fatura do mês Fevereiro já está disponível para pagamento.,payment
Alert: We detected a fluctuation in your connection to the bank.,alert
Notice: Your card limit is almost reached.,alert
Recebemos seu depósito de R$ 469. O saldo será atualizado em breve.,payment
Veja aqui o resumo dos seus gastos no último mês.,info
Sua conta Bradesco precisa de verificação imediata. Acesse: linkp.site/verificar,fraud
Comunicado importante sobre as taxas da sua conta corrente.,alert
Informativo: Sua conta agora tem acesso a novos fundos de investimento.,alert
"Warning: Suspicious transfer of $4218 detected. If it wasn't you, click: seguro.vcc.com/atualizar",fraud
Detectamos uma tentativa de invasão. Confirme seus dados agora: bit.ly/seguranca-ban,fraud
Alerta de segurança: Novo dispositivo conectado. Desconheça aqui: bit.ly/seguranca-ban,fraud
Use the QR Code below to complete your payment at Best Buy.,payment
Transfer scheduled successfully to Mary Johnson on 05/15/2026.,payment
Security tip: Never share your password with third parties over the phone.,alert
Learn how to save using our new goal-tracking tool.,info
Would you like to know more about our retirement plans?,info
Débito automático de R$ 534 realizado hoje.,payment
We received your deposit of $778. The balance will be updated shortly.,payment
Congratulations! You won a prize. Claim it by clicking the link: seguro.vcc.com/atualizar,fraud
Saiba como economizar usando nossa nova ferramenta de metas.,info
Notice: Your card limit is almost reached.,alert
"Aviso: Transferência suspeita de R$ 4606 detectada. Se não foi você, clique: linkp.site/verificar",fraud
Sua fatura do mês Maio já está disponível para pagamento.,payment
Your account now has access to new investment funds.,alert
Use o QR Code abaixo para realizar seu pagamento na Mercado Livre.,payment
Notification: Scheduled maintenance on Saturday.,alert
Alerta de segurança: Novo dispositivo conectado. Desconheça aqui: bit.ly/seguranca-ban,fraud
"Warning: Suspicious transfer of $1564 detected. If it wasn't you, click: linkp.site/verificar",fraud
Your credit card ending in 9153 has been approved. Limit: $889.,payment
Informação: O horário de atendimento foi estendido até as 20h.,info
Descubra as vantagens de ser um cliente Premium.,info
Notificação: Manutenção programada no sistema no dia sábado.,alert
Attention: New security rules for wire transfers.,alert
Transferência agendada com sucesso para Maria Oliveira no dia 15/05/2026.,payment
Descubra as vantagens de ser um cliente Premium.,info
Seu cartão de crédito final 6939 foi aprovado. Limite de R$ 605.,payment
We detected an intrusion attempt. Confirm your data now: linkp.site/verificar,fraud
Sua conta Nubank precisa de verificação imediata. Acesse: bit.ly/seguranca-ban,fraud
Your June statement is now available for payment.,payment
Consulte seu extrato detalhado no menu 'Finanças'.,info
Congratulations! You won a prize. Claim it by clicking the link: bit.ly/seguranca-ban,fraud
Lembrete: Atualize seu endereço no aplicativo para continuar recebendo faturas.,alert
Alerta: Detectamos uma oscilação na sua conexão com o banco.,alert
Alerta: Detectamos uma oscilação na sua conexão com o banco.,alert
Transferência agendada com sucesso para Ana Costa no dia 15/05/2026.,payment
Transferência agendada com sucesso para Maria Oliveira no dia 15/05/2026.,payment
We detected an intrusion attempt. Confirm your data now: seguro.vcc.com/atualizar,fraud
Consulte seu extrato detalhado no menu 'Finanças'.,info
Deseja saber mais sobre nossos planos de previdência?,info
Comunicado importante sobre as taxas da sua conta corrente.,alert
"Olá, como posso ajudar você hoje?",info
Attention: New security rules for wire transfers.,alert
Seu boleto de R$ 892 vence amanhã. Pague agora e evite juros.,payment
Your password expires in 24h. Update here to avoid being locked out: seguro.vcc.com/atualizar,fraud
Débito automático de R$ 511 realizado hoje.,payment
Recebemos um pedido de alteração de dados. Não foi você? bit.ly/seguranca-ban,fraud
Your bill of $415 is due tomorrow. Pay now to avoid late fees.,payment
Notice: Your card limit is almost reached.,alert
Transfer scheduled successfully to James Brown on 05/15/2026.,payment
Detectamos uma tentativa de invasão. Confirme seus dados agora: bit.ly/seguranca-ban,fraud
Important notice about your checking account fees.,alert
We detected an intrusion attempt. Confirm your data now: linkp.site/verificar,fraud
Check your detailed statement in the 'Finances' menu.,info
Your password expires in 24h. Update here to avoid being locked out: seguro.vcc.com/atualizar,fraud
Security alert: New device connected. Unlink it here: linkp.site/verificar,fraud
"Warning: Suspicious transfer of $1602 detected. If it wasn't you, click: linkp.site/verificar",fraud
Veja aqui o resumo dos seus gastos no último mês.,info
Alerta: Detectamos uma oscilação na sua conexão com o banco.,alert
Important notice about your checking account fees.,alert
Notice: Your card limit is almost reached.,alert
Alert: We detected a fluctuation in your connection to the bank.,alert
Dica de segurança: Nunca forneça sua senha a terceiros por telefone.,alert
Detectamos uma tentativa de invasão. Confirme seus dados agora: linkp.site/verificar,fraud
See here a summary of your spending last month.,info
Your credit card ending in 5256 has been approved. Limit: $22.,payment
We received a request to change your data. Wasn't you? linkp.site/verificar,fraud
Transferência agendada com sucesso para Maria Oliveira no dia 15/05/2026.,payment
Detectamos uma tentativa de invasão. Confirme seus dados agora: linkp.site/verificar,fraud
Sua conta Itaú precisa de verificação imediata. Acesse: bit.ly/seguranca-ban,fraud
Chase Bank wishes you a great day!,info
Security tip: Never share your password with third parties over the phone.,alert
Security tip: Never share your password with third parties over the phone.,alert
Congratulations! You won a prize. Claim it by clicking the link: linkp.site/verificar,fraud
Descubra as vantagens de ser um cliente Premium.,info
Your April statement is now available for payment.,payment
Transferência agendada com sucesso para Maria Oliveira no dia 15/05/2026.,payment
Saiba como economizar usando nossa nova ferramenta de metas.,info
Veja aqui o resumo dos seus gastos no último mês.,info
We detected an intrusion attempt. Confirm your data now: linkp.site/verificar,fraud
"Aviso: Transferência suspeita de R$ 2274 detectada. Se não foi você, clique: seguro.vcc.com/atualizar",fraud
Recebemos seu depósito de R$ 362. O saldo será atualizado em breve.,payment
Lembrete: Atualize seu endereço no aplicativo para continuar recebendo faturas.,alert
Detectamos uma tentativa de invasão. Confirme seus dados agora: linkp.site/verificar,fraud
Transferência agendada com sucesso para Maria Oliveira no dia 15/05/2026.,payment
Dica de segurança: Nunca forneça sua senha a terceiros por telefone.,alert
Comunicado importante sobre as taxas da sua conta corrente.,alert
Dica de segurança: Nunca forneça sua senha a terceiros por telefone.,alert
Discover the advantages of being a Premium client.,info
Your bill of $137 is due tomorrow. Pay now to avoid late fees.,payment
We received your deposit of $761. The balance will be updated shortly.,payment
Congratulations! You won a prize. Claim it by clicking the link: seguro.vcc.com/atualizar,fraud
Congratulations! You won a prize. Claim it by clicking the link: linkp.site/verificar,fraud
HSBC Bank wishes you a great day!,info
Congratulations! You won a prize. Claim it by clicking the link: seguro.vcc.com/atualizar,fraud
Learn how to save using our new goal-tracking tool.,info
See here a summary of your spending last month.,info
We detected an intrusion attempt. Confirm your data now: seguro.vcc.com/atualizar,fraud
Payment confirmation via wire transfer of $282 to John Smith.,payment
Payment confirmation via wire transfer of $10 to John Smith.,payment
Consulte seu extrato detalhado no menu 'Finanças'.,info
Dica de segurança: Nunca forneça sua senha a terceiros por telefone.,alert
Saiba como economizar usando nossa nova ferramenta de metas.,info
Urgent: Your account has been blocked. Click the link to resolve: bit.ly/seguranca-ban,fraud
Detectamos uma tentativa de invasão. Confirme seus dados agora: linkp.site/verificar,fraud
Consulte seu extrato detalhado no menu 'Finanças'.,info
Your password expires in 24h. Update here to avoid being locked out: seguro.vcc.com/atualizar,fraud
Transfer scheduled successfully to John Smith on 05/15/2026.,payment
Débito automático de R$ 523 realizado hoje.,payment
Congratulations! You won a prize. Claim it by clicking the link: linkp.site/verificar,fraud
Recebemos um pedido de alteração de dados. Não foi você? linkp.site/verificar,fraud
Your bill of $280 is due tomorrow. Pay now to avoid late fees.,payment
Automatic debit of $609 processed today.,payment
We received your deposit of $700. The balance will be updated shortly.,payment
Confirmação de pagamento via PIX no valor de R$ 910 para Maria Oliveira.,payment
Deseja saber mais sobre nossos planos de previdência?,info
Security tip: Never share your password with third parties over the phone.,alert
Your June statement is now available for payment.,payment
Chase Bank wishes you a great day!,info
Sua senha expira em 24h. Atualize aqui para evitar bloqueio: seguro.vcc.com/atualizar,fraud
Seu boleto de R$ 239 vence amanhã. Pague agora e evite juros.,payment
Your password expires in 24h. Update here to avoid being locked out: linkp.site/verificar,fraud
Your password expires in 24h. Update here to avoid being locked out: bit.ly/seguranca-ban,fraud
Sua senha expira em 24h. Atualize aqui para evitar bloqueio: bit.ly/seguranca-ban,fraud
Notification: Scheduled maintenance on Saturday.,alert
Reminder: Update your address in the app to keep receiving statements.,alert
We received a request to change your data. Wasn't you? seguro.vcc.com/atualizar,fraud
We received your deposit of $312. The balance will be updated shortly.,payment
Your credit card ending in 7562 has been approved. Limit: $520.,payment
Detectamos uma tentativa de invasão. Confirme seus dados agora: bit.ly/seguranca-ban,fraud
Important notice about your checking account fees.,alert
We detected an intrusion attempt. Confirm your data now: bit.ly/seguranca-ban,fraud
Check your detailed statement in the 'Finances' menu.,info
Sua senha expira em 24h. Atualize aqui para evitar bloqueio: linkp.site/verificar,fraud
Security tip: Never share your password with third parties over the phone.,alert
Alert: We detected a fluctuation in your connection to the bank.,alert
Débito automático de R$ 359 realizado hoje.,payment
Check your detailed statement in the 'Finances' menu.,info
Alerta: Detectamos uma oscilação na sua conexão com o banco.,alert
Information: Business hours have been extended until 8 PM.,info
Seu boleto de R$ 980 vence amanhã. Pague agora e evite juros.,payment
Recebemos seu depósito de R$ 747. O saldo será atualizado em breve.,payment
Your February statement is now available for payment.,payment
Use o QR Code abaixo para realizar seu pagamento na Amazon.,payment
See here a summary of your spending last month.,info
Learn how to save using our new goal-tracking tool.,info
Informação: O horário de atendimento foi estendido até as 20h.,info
Reminder: Update your address in the app to keep receiving statements.,alert
Deseja saber mais sobre nossos planos de previdência?,info
Your HSBC account requires immediate verification. Access: bit.ly/seguranca-ban,fraud
Security alert: New device connected. Unlink it here: linkp.site/verificar,fraud
Automatic debit of $118 processed today.,payment
Alert: We detected a fluctuation in your connection to the bank.,alert
See here a summary of your spending last month.,info
Saiba como economizar usando nossa nova ferramenta de metas.,info
Alerta de segurança: Novo dispositivo conectado. Desconheça aqui: seguro.vcc.com/atualizar,fraud
Notificação: Manutenção programada no sistema no dia sábado.,alert
Comunicado importante sobre as taxas da sua conta corrente.,alert
Notification: Scheduled maintenance on Saturday.,alert
We detected an intrusion attempt. Confirm your data now: bit.ly/seguranca-ban,fraud
Notice: Your card limit is almost reached.,alert
Notificação: Manutenção programada no sistema no dia sábado.,alert
Discover the advantages of being a Premium client.,info
Confirmação de pagamento via PIX no valor de R$ 494 para Ana Costa.,payment
Saiba como economizar usando nossa nova ferramenta de metas.,info
Descubra as vantagens de ser um cliente Premium.,info
Notificação: Manutenção programada no sistema no dia sábado.,alert
Your June statement is now available for payment.,payment
"Hello, how can I help you today?",info
Sua fatura do mês Janeiro já está disponível para pagamento.,payment
Notice: Your card limit is almost reached.,alert
Informativo: Sua conta agora tem acesso a novos fundos de investimento.,alert
Deseja saber mais sobre nossos planos de previdência?,info
Your March statement is now available for payment.,payment
Use o QR Code abaixo para realizar seu pagamento na Amazon.,payment
We detected an intrusion attempt. Confirm your data now: linkp.site/verificar,fraud
Your February statement is now available for payment.,payment
Discover the advantages of being a Premium client.,info
Your credit card ending in 9985 has been approved. Limit: $663.,payment
Notificação: Manutenção programada no sistema no dia sábado.,alert
Notice: Your card limit is almost reached.,alert
Informação: O horário de atendimento foi estendido até as 20h.,info
We detected an intrusion attempt. Confirm your data now: seguro.vcc.com/atualizar,fraud
"Aviso: Transferência suspeita de R$ 3303 detectada. Se não foi você, clique: linkp.site/verificar",fraud
Attention: New security rules for wire transfers.,alert
See here a summary of your spending last month.,info
Informação: O horário de atendimento foi estendido até as 20h.,info
Descubra as vantagens de ser um cliente Premium.,info
Aviso: O limite do seu cartão está próximo do fim.,alert
Notificação: Manutenção programada no sistema no dia sábado.,alert
We received a request to change your data. Wasn't you? linkp.site/verificar,fraud
Comunicado importante sobre as taxas da sua conta corrente.,alert
Use the QR Code below to complete your payment at Walmart.,payment
We received a request to change your data. Wasn't you? linkp.site/verificar,fraud
Urgent: Your account has been blocked. Click the link to resolve: seguro.vcc.com/atualizar,fraud
Alerta: Detectamos uma oscilação na sua conexão com o banco.,alert
"Aviso: Transferência suspeita de R$ 4222 detectada. Se não foi você, clique: linkp.site/verificar",fraud
Parabéns! Você ganhou um prêmio. Resgate clicando no link: bit.ly/seguranca-ban,fraud
O banco Nubank deseja um ótimo dia para você!,info
See here a summary of your spending last month.,info
We detected an intrusion attempt. Confirm your data now: seguro.vcc.com/atualizar,fraud
Automatic debit of $292 processed today.,payment
Your account now has access to new investment funds.,alert
Alert: We detected a fluctuation in your connection to the bank.,alert
Seu cartão de crédito final 9449 foi aprovado. Limite de R$ 430.,payment
Attention: New security rules for wire transfers.,alert
Seu boleto de R$ 994 vence amanhã. Pague agora e evite juros.,payment
Urgent: Your account has been blocked. Click the link to resolve: seguro.vcc.com/atualizar,fraud
Dica de segurança: Nunca forneça sua senha a terceiros por telefone.,alert
Sua conta Nubank precisa de verificação imediata. Acesse: bit.ly/seguranca-ban,fraud
Sua senha expira em 24h. Atualize aqui para evitar bloqueio: seguro.vcc.com/atualizar,fraud
Attention: New security rules for wire transfers.,alert
Lembrete: Atualize seu endereço no aplicativo para continuar recebendo faturas.,alert
Recebemos seu depósito de R$ 201. O saldo será atualizado em breve.,payment
Security alert: New device connected. Unlink it here: linkp.site/verificar,fraud
Your credit card ending in 7367 has been approved. Limit: $858.,payment
Dica de segurança: Nunca forneça sua senha a terceiros por telefone.,alert
Sua senha expira em 24h. Atualize aqui para evitar bloqueio: seguro.vcc.com/atualizar,fraud
Notificação: Manutenção programada no sistema no dia sábado.,alert
"Hello, how can I help you today?",info
Learn how to save using our new goal-tracking tool.,info
